Granularity,Start date,End date,Business ID,Business name,Store ID,Store name,Merchant supplied store ID,Channel,Fulfillment type,Is DashPass,Customer type,Currency,Total orders/deliveries (including cancelled),Total cancelled orders/deliveries,Gross sales,AOV
Day of 2025-01-05,2025-01-05,2025-01-05,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,repeat,USD,12,0,215.82,17.99
Day of 2025-01-05,2025-01-05,2025-01-05,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,new,USD,2,0,42.43,21.22
Day of 2025-01-06,2025-01-06,2025-01-06,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,repeat,USD,17,1,376.86,22.17
Day of 2025-01-06,2025-01-06,2025-01-06,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,new,USD,2,0,27.86,13.93
Day of 2025-01-06,2025-01-06,2025-01-06,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,new,USD,2,0,65.62,32.81
Day of 2025-01-06,2025-01-06,2025-01-06,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,new,USD,2,1,56.72,28.36
Day of 2025-01-06,2025-01-06,2025-01-06,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,repeat,USD,23,0,488.33,21.23
Day of 2025-01-06,2025-01-06,2025-01-06,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,repeat,USD,12,0,160.97,13.41
Day of 2025-01-06,2025-01-06,2025-01-06,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,new,USD,4,0,53.00,13.25
Day of 2025-01-06,2025-01-06,2025-01-06,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,new,USD,3,0,57.80,19.27
Day of 2025-01-06,2025-01-06,2025-01-06,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,repeat,USD,5,0,65.84,13.17
Day of 2025-01-06,2025-01-06,2025-01-06,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,repeat,USD,12,1,335.83,27.99
Day of 2025-01-06,2025-01-06,2025-01-06,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,repeat,USD,6,0,122.53,20.42
Day of 2025-01-07,2025-01-07,2025-01-07,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,repeat,USD,16,0,317.63,19.85
Day of 2025-01-07,2025-01-07,2025-01-07,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,new,USD,6,0,76.79,12.80
Day of 2025-01-07,2025-01-07,2025-01-07,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,new,USD,2,0,31.63,15.82
Day of 2025-01-07,2025-01-07,2025-01-07,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,new,USD,4,0,104.52,26.13
Day of 2025-01-07,2025-01-07,2025-01-07,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,repeat,USD,18,0,426.57,23.70
Day of 2025-01-07,2025-01-07,2025-01-07,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,new,USD,3,0,86.15,28.72
Day of 2025-01-07,2025-01-07,2025-01-07,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,repeat,USD,8,0,123.97,15.50
Day of 2025-01-07,2025-01-07,2025-01-07,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,new,USD,4,0,71.27,17.82
Day of 2025-01-07,2025-01-07,2025-01-07,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,new,USD,5,0,72.15,14.43
Day of 2025-01-07,2025-01-07,2025-01-07,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,repeat,USD,13,1,267.18,20.55
Day of 2025-01-07,2025-01-07,2025-01-07,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,repeat,USD,7,0,88.45,12.64
Day of 2025-01-07,2025-01-07,2025-01-07,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,repeat,USD,14,0,195.32,13.95
Day of 2025-01-08,2025-01-08,2025-01-08,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,new,USD,7,0,103.00,14.71
Day of 2025-01-08,2025-01-08,2025-01-08,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,new,USD,2,0,52.25,26.13
Day of 2025-01-08,2025-01-08,2025-01-08,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,repeat,USD,15,0,289.43,19.30
