Store name as per Uber Eats manager,External store ID as per Uber Eats manager,Order ID as per Uber Eats manager,Unique ID to identify the order ,"The mode of order fulfillment whether it was delivery by courier via Uber network, delivery by merchant, Pick-up by customer or Dine-in",Mode of payment used for order payment,"The platform from which the customer ordered, (i.e. iOS, Android, Uber Eats Web)","Either: Completed (eater received food), Cancelled (order cancelled by eater or support), Refund (eater was refunded for order), or Unfulfilled (order was not able to be completed)","Local date the order was placed, or local date of the original order placed for which there is a refund",Local timestamp for when order was accepted by the merchant ,Uber membership status of the customer who placed the order,Total item sales excl tax ,Tax on total item sales in the order,Total item sales incl tax,Amount merchants are responsible for refunding customers when they report order errors (excl tax),Tax Refund On Sales,Amount merchants are responsible for refunding customers when they report order errors (incl tax),Adjustments merchants made to the price of items once an order has been placed (excl tax),Tax on in-store price adjustments,Merchant promotions applied to the order,Tax on merchant promotions applied to the order,Merchant promotions applied to the delivery fee charged to Eaters,Tax on merchant promotions applied to the delivery fee charged to Eaters,Offer Redemption Fee,Fee charged to eater by the merchant for the packaging material,Amount merchant charges Uber for co-funded marketing campaigns. Varies depending on co-funding % for the campaign.,"Total item sales including promotions, adjustments and bag fee incl tax where applicable","The fee Uber charges to merchant to make their store visible to potential customers, provide support and other related services ( %fee is applied to sub-total before discounts) ",The % Marketplace fee Uber charges merchant,Tax on Marketplace fee charged to merchant by Uber,Fixed Fee charged to merchant by Uber for using Ubers delivery network ,Tax on delivery network fee charged to merchant by Uber,A flat % fee on the basket charged by Uber to merchants for processing every order ,"Where delivery fee is greater than cost of delivery, this is equal to (delivery fee minus the cost of delivery) where applicable",Tax on service fee charged by merchants to eaters,"For merchants who perform their own delivery, the tip from the Eater to the courier",Amount directed to Merchant Capital payments,This is the amount collected for the container deposit fee set in the catalog/menu,Description of adhoc one-time payments or charges from Uber to the merchant,"All miscellaneous payments like Ad payments, Ad credits etc. inclusive of tax",Tax Adjustment on Marketplace Facilitator Tax for this order,Sales tax Uber Eats is required to pay in jurisdictions with marketplace facilitator laws ,"As required by the IRS, a % withheld from payments if the EIN/TIN is missing or does not match IRS records.",Total payout associated with this order (negative if associated with a refund)  Sales + Adjustments - promotions + marketing adjustment + Bag fee + delivery fee (self delivery) + tips (self-delivery) - marketplace fee +/- Other payments - marketplace facilitator tax  (incl tax where applicable),Date payout initiated by Uber (generally the Monday following the prior week),Amount commercially agreed to between Merchant and Uber added on a per item basis and charged to the Eater on Merchant’s behalf,Applicable taxes due on the Markup Amount,"This is the ID from retailers, used to identify retailer loyalty customers",The reference ID for identifying the payout related to this order in the Payout Summary Report CSV
Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Payment Mode,Order Channel,Order Status,Order date,Order Accept Time,Customer Uber-Membership Status,Sales (excl. tax),Tax on Sales,Sales (incl. tax),Order Error Adjustments,Tax on Order Error Adjustments,Order Error Adjustments (incl. tax),Price adjustments (excl. tax),Tax on Price Adjustments,Offers on items (incl. tax),Tax On Offers on items,Delivery Offer Redemptions (incl. tax),Tax On Delivery Offer Redemptions,Offer Redemption Fee,Bag Fee,Marketing Adjustment,Total Sales after Adjustments (incl tax),Marketplace Fee,Marketplace fee %,Tax on Marketplace Fee,Delivery Network Fee,Tax on Delivery Network Fee,Order Processing Fee,Delivery Fee,Tax On Delivery Fee,Tips,Capital payments,Container Deposit Fee,Other payments description,Other payments,Marketplace Facilitator Tax Adjustment,Marketplace Facilitator Tax,Backup Withholding Tax,Total payout ,Payout Date,Markup Amount,Markup Tax,Retailer Loyalty ID,Payout reference ID
McDonald's® (Michigan & Madison),493,#5765A,35dfee2f-045e-4b0f-b4f4-50107875765a,Delivery - Partner Using Uber App,Digital,UberEats Android,Unfulfilled,1/1/2025,2:38 PM,Uber One member,21.34,1.49,22.83,0,0,0,0,0,0,0,0,0,0,0,0,22.83,-2.99,14,0,0,0,0,0,0,0,0,0,,0,0,-1.49,0,18.35,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#5D872,3a086456-c5f6-472a-bb44-860c9e35d872,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,1/1/2025,2:57 PM,Uber One member,21.34,1.49,22.83,0,0,0,0,0,-3.94,-0.25,0,0,0,0,0,18.89,-2.82,16,0,0,0,0,0,0,0,0,0,,0,0,-1.24,0,14.83,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#CE761,44217a0f-be69-4759-9bd2-eff300ece761,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,1/1/2025,6:28 PM,Uber One member,18.97,1.33,20.3,0,0,0,0,0,0,0,0,0,0,0,0,20.3,-3.04,16,0,0,0,0,0,0,0,0,0,,0,0,-1.33,0,15.93,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,,,,,UberEats Unknown,,1/1/2025,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,Reverse charge on undelivered orders because restaurant was closed - order #F897F,-13.97,0,0,0,-13.97,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,,,,,UberEats Unknown,,1/2/2025,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,Reverse charge on undelivered orders because restaurant was closed - order #507C3,-14.93,0,0,0,-14.93,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#F3461,8e8e1f23-6b01-4bba-98c0-e4d7b52f3461,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,1/2/2025,10:22 AM,Non-member,15.45,1.08,16.53,0,0,0,0,0,0,0,0,0,0,0,0,16.53,-2.16,14,0,0,0,0,0,0,0,0,0,,0,0,-1.08,0,13.29,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#8B508,7d2b2340-3c7d-4af7-a593-01553b68b508,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,1/2/2025,7:07 PM,Non-member,32.07,2.24,34.31,0,0,0,0,0,0,0,0,0,0,0,0,34.31,-4.49,14,0,0,0,0,0,0,0,0,0,,0,0,-2.24,0,27.58,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#96663,825eaf33-fbed-453c-8e74-f2cdce296663,Delivery - Partner Using Uber App,Digital,UberEats Web,Completed,1/2/2025,10:18 PM,Non-member,10.59,0.74,11.33,0,0,0,0,0,0,0,0,0,0,0,0,11.33,-1.48,14,0,0,0,0,0,0,0,0,0,,0,0,-0.74,0,9.11,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#F218F,35ae5d1a-9b77-44eb-8fe0-01feeeaf218f,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,1/2/2025,10:28 PM,Uber One member,24.47,1.71,26.18,0,0,0,0,0,0,0,0,0,0,0,0,26.18,-3.92,16,0,0,0,0,0,0,0,0,0,,0,0,-1.71,0,20.55,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#8B687,5e7467ba-dec8-4873-af47-0604a448b687,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,1/3/2025,12:19 AM,Uber One member,32.71,2.29,35,0,0,0,0,0,-3.95,-0.26,0,0,0,0,0,31.05,-4.64,16,0,0,0,0,0,0,0,0,0,,0,0,-2.03,0,24.38,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#17B90,720975b0-1d91-4021-9507-38a897a17b90,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,1/3/2025,6:32 AM,Non-member,15.45,1.08,16.53,0,0,0,0,0,0,0,0,0,0,0,0,16.53,-2.16,14,0,0,0,0,0,0,0,0,0,,0,0,-1.08,0,13.29,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#17B90,720975b0-1d91-4021-9507-38a897a17b90,Delivery - Partner Using Uber App,Digital,UberEats Unknown,Refund,1/3/2025,6:32 AM,Non-member,0,0,0,-3.49,-0.24,-3.73,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0.24,0,-3.49,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#68E41,78dc4398-b93d-404c-a53c-00fece268e41,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,1/3/2025,10:15 AM,Uber One member,19.83,1.39,21.22,0,0,0,0,0,-5.02,-0.33,0,0,0,0,0,16.2,-2.42,16,0,0,0,0,0,0,0,0,0,,0,0,-1.06,0,12.72,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#DAB35,d26bc259-ff1c-4895-a007-04299fadab35,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,1/3/2025,12:10 PM,Uber One member,52.97,3.71,56.68,0,0,0,0,0,-3.95,-0.26,0,0,0,0,0,52.73,-7.88,16,0,0,0,0,0,0,0,0,0,,0,0,-3.45,0,41.4,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#B8FB2,fb0dbaa5-1d7c-472d-91a1-aa7e405b8fb2,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,1/3/2025,3:30 PM,Uber One member,30.55,2.14,32.69,0,0,0,0,0,-3.95,-0.26,0,0,0,0,0,28.74,-4.3,16,0,0,0,0,0,0,0,0,0,,0,0,-1.88,0,22.56,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#3870A,e0d01201-2c4c-4ed8-819a-da4247f3870a,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,1/3/2025,6:30 PM,Uber One member,24.86,1.74,26.6,0,0,0,0,0,0,0,0,0,0,0,0,26.6,-3.98,16,0,0,0,0,0,0,0,0,0,,0,0,-1.74,0,20.88,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#09909,ec06ffff-62e4-4ad4-8ec7-d1cd4c209909,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,1/4/2025,12:44 AM,Uber One member,26.81,1.87,28.68,0,0,0,0,0,0,0,0,0,0,0,0,28.68,-4.29,16,0,0,0,0,0,0,0,0,0,,0,0,-1.87,0,22.52,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#3DBA6,db93349d-644d-4926-b57d-da9644c3dba6,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,1/4/2025,1:20 AM,Uber One member,15.59,1.09,16.68,0,0,0,0,0,0,0,0,0,0,0,0,16.68,-2.49,16,0,0,0,0,0,0,0,0,0,,0,0,-1.09,0,13.1,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#7EAFF,511da0f7-1000-4e60-bef9-3e13cd57eaff,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,1/4/2025,2:42 AM,Uber One member,45.8,3.2,49,0,0,0,0,0,-3.95,-0.26,0,0,0,0,0,45.05,-6.74,16,0,0,0,0,0,0,0,0,0,,0,0,-2.94,0,35.37,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#7EAFF,511da0f7-1000-4e60-bef9-3e13cd57eaff,Delivery - Partner Using Uber App,Digital,UberEats Unknown,Refund,1/4/2025,2:42 AM,Uber One member,0,0,0,-5.18,-0.36,-5.54,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0.36,0,-5.18,1/13/2025,0,0,,NGS7LWJTLTMMZ5F
McDonald's® (Michigan & Madison),493,#7EAFF,511da0f7-1000-4e60-bef9-3e13cd57eaff,Delivery - Partner Using Uber App,Digital,UberEats Unknown,Refund Disputed,1/4/2025,2:42 AM,Uber One member,0,0,0,5.18,0,5.18,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,5.18,1/13/2025,0,0,,NGS7LWJTLTMMZ5F
McDonald's® (Michigan & Madison),493,#36F56,a00e7851-1aee-4142-967d-2a50d5936f56,Delivery - Partner Using Uber App,Digital,UberEats iOS,Cancelled,1/4/2025,3:58 AM,Uber One member,14.56,1.02,15.58,0,0,0,0,0,-3.95,-0.26,0,0,0,0,0,11.63,-1.74,16,0,0,0,0,0,0,0,0,0,,0,0,-0.76,0,9.13,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#ABDF8,23755710-1817-4e53-bbb2-20be5fdabdf8,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,1/4/2025,4:54 AM,Uber One member,21.05,1.47,22.52,0,0,0,0,0,0,0,0,0,0,0,0,22.52,-3.37,16,0,0,0,0,0,0,0,0,0,,0,0,-1.47,0,17.68,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#B1321,4ebbe014-7c54-4cc9-864b-40498b4b1321,Delivery - Partner Using Uber App,Digital,UberEats Web,Completed,1/4/2025,6:41 AM,Non-member,46.33,3.24,49.57,0,0,0,0,0,-10.03,-0.65,0,0,0,0,0,39.54,-5.17,14,0,0,0,0,0,0,0,0,0,,0,0,-2.59,0,31.78,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#C57DA,f812dfc4-aa8a-4bec-98f0-a7a4e7ec57da,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,1/4/2025,5:52 AM,Uber One member,30.6,2.14,32.74,0,0,0,0,0,-5.02,-0.33,0,0,0,0,0,27.72,-4.15,16,0,0,0,0,0,0,0,0,0,,0,0,-1.81,0,21.76,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#F08A9,6f1e689d-0046-4cb6-93e0-110f474f08a9,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,1/4/2025,10:53 PM,Uber One member,17.18,1.2,18.38,0,0,0,0,0,0,0,0,0,0,0,0,18.38,-2.75,16,0,0,0,0,0,0,0,0,0,,0,0,-1.2,0,14.43,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#8C428,fd0fce26-a3fb-45ed-b2d2-631200e8c428,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,1/5/2025,6:41 AM,Uber One member,17.85,1.24,19.09,0,0,0,0,0,0,0,0,0,0,0,0,19.09,-2.86,16,0,0,0,0,0,0,0,0,0,,0,0,-1.24,0,14.99,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#E5F9E,3150344c-5bee-44af-9c11-95e7a6ce5f9e,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,1/5/2025,9:11 AM,Uber One member,17.93,1.25,19.18,0,0,0,0,0,0,0,0,0,0,0,0,19.18,-2.87,16,0,0,0,0,0,0,0,0,0,,0,0,-1.25,0,15.06,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#41CBB,2a561cec-fd5e-45a4-9f58-4aa89f741cbb,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,1/5/2025,9:41 AM,Non-member,12.57,0.88,13.45,0,0,0,0,0,-5.02,-0.33,0,0,0,0,0,8.43,-1.1,14,0,0,0,0,0,0,0,0,0,,0,0,-0.55,0,6.78,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#DED29,6b2509f0-0fcf-4358-b03d-300c3ffded29,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,1/5/2025,10:04 AM,Uber One member,20.75,1.46,22.21,0,0,0,0,0,-5.02,-0.33,0,0,0,0,0,17.19,-2.57,16,0,0,0,0,0,0,0,0,0,,0,0,-1.13,0,13.49,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#AAA00,d6b083cd-9bb7-4656-a3c1-6063549aaa00,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,1/5/2025,2:40 PM,Uber One member,22.12,1.55,23.67,0,0,0,0,0,-3.95,-0.26,0,0,0,0,0,19.72,-2.95,16,0,0,0,0,0,0,0,0,0,,0,0,-1.29,0,15.48,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#9E118,672ae751-6f59-420e-a877-a67667d9e118,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,1/5/2025,10:11 PM,Uber One member,7.09,0.5,7.59,0,0,0,0,0,0,0,0,0,0,0,0,7.59,-1.13,16,0,0,0,0,0,0,0,0,0,,0,0,-0.5,0,5.96,1/6/2025,0,0,,0GMFEIKMOCAUNO8
McDonald's® (Michigan & Madison),493,#B3A6D,b33f7322-1ad4-4d8c-8874-b882822b3a6d,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,1/6/2025,12:52 PM,Uber One member,15.47,1.08,16.55,0,0,0,0,0,0,0,0,0,0,0,0,16.55,-2.48,16,0,0,0,0,0,0,0,0,0,,0,0,-1.08,0,12.99,1/13/2025,0,0,,NGS7LWJTLTMMZ5F
McDonald's® (Michigan & Madison),493,#6F89A,eac3fc6d-b5bc-4e27-b938-084aafd6f89a,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,1/6/2025,9:38 PM,Non-member,38.4,2.68,41.08,0,0,0,0,0,-3.95,-0.26,0,0,0,0,0,37.13,-4.86,14,0,0,0,0,0,0,0,0,0,,0,0,-2.42,0,29.85,1/13/2025,0,0,,NGS7LWJTLTMMZ5F
McDonald's® (Michigan & Madison),493,#8CB0B,9d533c0c-ce7a-48cb-8057-e4449238cb0b,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,1/7/2025,7:54 AM,Non-member,11.27,0.79,12.06,0,0,0,0,0,0,0,0,0,0,0,0,12.06,-1.58,14,0,0,0,0,0,0,0,0,0,,0,0,-0.79,0,9.69,1/13/2025,0,0,,NGS7LWJTLTMMZ5F
McDonald's® (Michigan & Madison),493,#1F2DE,39bd46c3-7bc2-4621-b657-6e2bb561f2de,Delivery - Partner Using Uber App,Digital,Postmates Android,Completed,1/7/2025,9:28 AM,Non-member,6.19,0.43,6.62,0,0,0,0,0,0,0,0,0,0,0,0,6.62,-0.87,14,0,0,0,0,0,0,0,0,0,,0,0,-0.43,0,5.32,1/13/2025,0,0,,NGS7LWJTLTMMZ5F
McDonald's® (Michigan & Madison),493,#12CCA,c10a5ca4-86cf-4742-8ca0-7575dc512cca,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,1/7/2025,9:29 AM,Uber One member,18.65,1.31,19.96,0,0,0,0,0,-5.02,-0.33,0,0,0,0,0,14.94,-2.23,16,0,0,0,0,0,0,0,0,0,,0,0,-0.98,0,11.73,1/13/2025,0,0,,NGS7LWJTLTMMZ5F
McDonald's® (Michigan & Madison),493,#81A69,d4d7322d-e91f-4099-ab7d-abf842a81a69,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,1/7/2025,12:38 PM,Uber One member,19.53,1.37,20.9,0,0,0,0,0,-3.95,-0.26,0,0,0,0,0,16.95,-2.53,16,0,0,0,0,0,0,0,0,0,,0,0,-1.11,0,13.31,1/13/2025,0,0,,NGS7LWJTLTMMZ5F
McDonald's® (Michigan & Madison),493,#5BFD7,1615f45d-09ba-41ca-81d6-e7b28ba5bfd7,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,1/8/2025,9:00 AM,Uber One member,26.96,1.89,28.85,0,0,0,0,0,0,0,0,0,0,0,0,28.85,-4.31,16,0,0,0,0,0,0,0,0,0,,0,0,-1.89,0,22.65,1/13/2025,0,0,,NGS7LWJTLTMMZ5F
McDonald's® (Michigan & Madison),493,#5BFD7,1615f45d-09ba-41ca-81d6-e7b28ba5bfd7,Delivery - Partner Using Uber App,Digital,UberEats Unknown,Refund,1/8/2025,9:00 AM,Uber One member,0,0,0,-4.98,-0.35,-5.33,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0.35,0,-4.98,1/13/2025,0,0,,NGS7LWJTLTMMZ5F
McDonald's® (Michigan & Madison),493,#653A3,06314d77-8c0a-4140-bef3-c158a8f653a3,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,1/8/2025,1:51 PM,Non-member,19.16,1.35,20.51,0,0,0,0,0,-3.95,-0.26,0,0,0,0,0,16.56,-2.17,14,0,0,0,0,0,0,0,0,0,,0,0,-1.09,0,13.3,1/13/2025,0,0,,NGS7LWJTLTMMZ5F
McDonald's® (Michigan & Madison),493,#DF2B5,62770a28-8d93-4d9e-810f-47ad27ddf2b5,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,1/8/2025,5:16 PM,Uber One member,18.57,1.3,19.87,0,0,0,0,0,-3.95,-0.26,0,0,0,0,0,15.92,-2.38,16,0,0,0,0,0,0,0,0,0,,0,0,-1.04,0,12.5,1/13/2025,0,0,,NGS7LWJTLTMMZ5F
McDonald's® (Michigan & Madison),493,#5CE29,e49350ea-4241-4ae7-baac-95fabe15ce29,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,1/9/2025,7:16 AM,Non-member,16.34,1.14,17.48,0,0,0,0,0,0,0,0,0,0,0,0,17.48,-2.29,14,0,0,0,0,0,0,0,0,0,,0,0,-1.14,0,14.05,1/13/2025,0,0,,NGS7LWJTLTMMZ5F
McDonald's® (Michigan & Madison),493,#FB04B,2fe41211-f9a6-4c7a-9192-2fd64e4fb04b,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,1/9/2025,9:40 AM,Non-member,11.58,0.81,12.39,0,0,0,0,0,0,0,0,0,0,0,0,12.39,-1.62,14,0,0,0,0,0,0,0,0,0,,0,0,-0.81,0,9.96,1/13/2025,0,0,,NGS7LWJTLTMMZ5F
McDonald's® (Michigan & Madison),493,#C2444,2c57dfd7-8e20-4942-850c-9ac38a2c2444,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,1/9/2025,1:40 PM,Uber One member,48.21,3.38,51.59,0,0,0,0,0,0,0,0,0,0,0,0,51.59,-7.71,16,0,0,0,0,0,0,0,0,0,,0,0,-3.38,0,40.5,1/13/2025,0,0,,NGS7LWJTLTMMZ5F
McDonald's® (Michigan & Madison),493,#1F4AF,9fcdf8c0-839a-4a76-b537-876dc0f1f4af,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,1/9/2025,3:51 PM,Uber One member,23.37,1.63,25,0,0,0,0,0,0,0,0,0,0,0,0,25,-3.74,16,0,0,0,0,0,0,0,0,0,,0,0,-1.63,0,19.63,1/13/2025,0,0,,NGS7LWJTLTMMZ5F
McDonald's® (Michigan & Madison),493,#E2AAA,0250e5c4-b26f-48db-9c36-8d1cb0fe2aaa,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,1/9/2025,11:54 PM,Uber One member,36.34,2.54,38.88,0,0,0,0,0,-3.95,-0.26,0,0,0,0,0,34.93,-5.22,16,0,0,0,0,0,0,0,0,0,,0,0,-2.28,0,27.43,1/13/2025,0,0,,NGS7LWJTLTMMZ5F
McDonald's® (Michigan & Madison),493,#94047,a59394f6-7ab6-4c3d-9a0e-3a613bb94047,Delivery - Partner Using Uber App,Digital,UberEats Web,Completed,1/10/2025,7:42 PM,Non-member,24.17,1.69,25.86,0,0,0,0,0,0,0,0,0,0,0,0,25.86,-3.38,14,0,0,0,0,0,0,0,0,0,,0,0,-1.69,0,20.79,1/13/2025,0,0,,NGS7LWJTLTMMZ5F
McDonald's® (Michigan & Madison),493,#9FA72,1a623c7b-7fda-484a-a6ce-7ca296d9fa72,Delivery - Partner Using Uber App,Digital,UberEats Web,Completed,1/11/2025,10:18 AM,Non-member,28.14,1.96,30.1,0,0,0,0,0,-15.05,-0.98,0,0,0,0,0,15.05,-1.97,14,0,0,0,0,0,0,0,0,0,,0,0,-0.98,0,12.1,1/13/2025,0,0,,NGS7LWJTLTMMZ5F
McDonald's® (Michigan & Madison),493,#ECD98,747199f3-6693-478b-9e6b-4f06e0aecd98,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,1/11/2025,11:07 AM,Uber One member,28.76,2.02,30.78,0,0,0,0,0,-3.95,-0.26,0,0,0,0,0,26.83,-4.01,16,0,0,0,0,0,0,0,0,0,,0,0,-1.76,0,21.06,1/13/2025,0,0,,NGS7LWJTLTMMZ5F
McDonald's® (Michigan & Madison),493,#7D2EC,ac8323dc-6810-4886-a5e3-c6fb4677d2ec,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,1/11/2025,2:03 PM,Uber One member,30.53,2.14,32.67,0,0,0,0,0,-3.95,-0.26,0,0,0,0,0,28.72,-4.29,16,0,0,0,0,0,0,0,0,0,,0,0,-1.88,0,22.55,1/13/2025,0,0,,NGS7LWJTLTMMZ5F
McDonald's® (Michigan & Madison),493,#00513,ecf9d19d-45f3-451f-8d29-96e41f000513,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,1/11/2025,4:14 PM,Uber One member,15.58,1.09,16.67,0,0,0,0,0,0,0,0,0,0,0,0,16.67,-2.49,16,0,0,0,0,0,0,0,0,0,,0,0,-1.09,0,13.09,1/13/2025,0,0,,NGS7LWJTLTMMZ5F
McDonald's® (Michigan & Madison),493,#8FE31,43214377-cdf0-4bb4-9518-9e0c5108fe31,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,1/11/2025,5:21 PM,Uber One member,19.85,1.39,21.24,0,0,0,0,0,-3.95,-0.26,0,0,0,0,0,17.29,-2.59,16,0,0,0,0,0,0,0,0,0,,0,0,-1.13,0,13.57,1/13/2025,0,0,,NGS7LWJTLTMMZ5F
McDonald's® (Michigan & Madison),493,#B9259,248ca5f6-68cf-4601-a3a0-01293a5b9259,Delivery - Partner Using Uber App,Digital,UberEats Web,Completed,1/11/2025,8:35 PM,Uber One member,22.74,1.59,24.33,0,0,0,0,0,-3.95,-0.26,0,0,0,0,0,20.38,-3.05,16,0,0,0,0,0,0,0,0,0,,0,0,-1.33,0,16,1/13/2025,0,0,,NGS7LWJTLTMMZ5F
McDonald's® (Michigan & Madison),493,#3AB18,5cb27d0c-d582-45e7-9126-01f54763ab18,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,1/11/2025,8:34 PM,Uber One member,30.61,2.14,32.75,0,0,0,0,0,-7.89,-0.51,0,0,0,0,0,24.86,-3.72,16,0,0,0,0,0,0,0,0,0,,0,0,-1.63,0,19.51,1/13/2025,0,0,,NGS7LWJTLTMMZ5F
McDonald's® (Michigan & Madison),493,#78C33,2b88b1e0-a6ed-47dc-a747-084587d78c33,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,1/11/2025,9:06 PM,Uber One member,30.53,2.14,32.67,0,0,0,0,0,-3.95,-0.26,0,0,0,0,0,28.72,-4.29,16,0,0,0,0,0,0,0,0,0,,0,0,-1.88,0,22.55,1/13/2025,0,0,,NGS7LWJTLTMMZ5F
McDonald's® (Michigan & Madison),493,#D3C20,e506944d-7b4b-4d62-90a9-9a2fbb7d3c20,Delivery - Partner Using Uber App,Digital,Postmates iOS,Completed,1/11/2025,10:24 PM,Uber One member,13.55,0.94,14.49,0,0,0,0,0,0,0,0,0,0,0,0,14.49,-2.17,16,0,0,0,0,0,0,0,0,0,,0,0,-0.94,0,11.38,1/13/2025,0,0,,NGS7LWJTLTMMZ5F
