Business ID,Business name,Store ID,Store name,Merchant store ID,Payout date,Currency,Channel,Subtotal,Subtotal tax passed to merchant,Commission,Payment processing fee,Marketing fees | (including any applicable taxes),Customer discounts from marketing | (funded by you),Customer discounts from marketing | (funded by DoorDash),Customer discounts from marketing | (funded by a third-party),DoorDash marketing credit,Third-party contribution,Marketing fees (for historical reference only) | (all discounts and fees),Marketing fee tax (for historical reference only) | (taxes on any applicable marketing fees),Ad fee (for historical reference only),Ad fee tax (for historical reference only),Error charges,Adjustments,Net total,Subtotal for tax,Subtotal tax remitted by DoorDash to tax authorities,DoorDash funded subtotal discount amount | (for historical reference only),Merchant funded subtotal discount amount | (for historical reference only),Payout ID,Payout status
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-04-20,USD,Storefront,34.44,0.00,0.00,-2.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.18,34.44,-2.41,0.00,0.00,571716846,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-04-20,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.95,55.95,0.00,0.00,0.00,0.00,571716846,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-04-13,USD,Marketplace,11149.53,0.00,-1444.16,0.00,-575.40,-1062.51,-144.07,0.00,144.07,0.00,-1121.91,0.00,-516.00,0.00,-338.90,116.99,7845.55,9953.28,-696.76,144.07,1062.51,569844771,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-04-13,USD,Storefront,41.42,0.00,0.00,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.94,41.42,-2.90,0.00,0.00,569844771,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-04-13,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.42,56.42,0.00,0.00,0.00,0.00,569844771,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-04-06,USD,Marketplace,11236.07,0.00,-1429.85,0.00,-514.35,-1398.92,-28.01,0.00,28.01,0.00,-1463.27,0.00,-450.00,0.00,-368.39,165.79,7690.35,9815.13,-687.09,28.01,1398.92,567969514,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-04-06,USD,Storefront,47.53,0.00,0.00,-2.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.93,0.00,41.84,47.53,-3.32,0.00,0.00,567969514,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-04-06,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.44,48.44,0.00,0.00,0.00,0.00,567969514,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-03-30,USD,Marketplace,9651.13,0.00,-1288.86,0.00,-386.70,-1267.54,-27.50,0.00,27.50,0.00,-1297.24,0.00,-357.00,0.00,-368.32,76.24,6415.95,8359.08,-585.08,27.50,1267.54,566074110,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-03-30,USD,Storefront,37.32,0.00,0.00,-2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.84,37.32,-2.61,0.00,0.00,566074110,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-03-30,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,118.17,127.17,0.00,0.00,0.00,0.00,566074110,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-03-23,USD,Marketplace,10010.76,0.00,-1334.80,0.00,-424.71,-1303.56,-37.68,-9.99,37.68,9.99,-1335.24,0.00,-393.03,0.00,-213.31,158.48,6892.86,8669.52,-606.92,47.67,1303.56,564199748,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-03-23,USD,Storefront,60.02,0.00,0.00,-3.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.04,60.02,-4.20,0.00,0.00,564199748,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-03-23,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.35,74.35,0.00,0.00,0.00,0.00,564199748,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-03-16,USD,Marketplace,9965.16,0.00,-1343.37,0.00,-412.53,-1215.90,-100.17,0.00,100.17,0.00,-1271.34,0.00,-357.09,0.00,-326.17,103.40,6770.59,8655.07,-605.97,100.17,1215.90,562309405,PAID
