Date,Is self serve campaign,Campaign ID,Campaign name,Campaign start date,Campaign end date,Store ID,Store name,Currency,Impressions,Clicks,Orders,Sales,Marketing fees | (including any applicable taxes),DoorDash marketing credit,Third-party contribution,Average order value,Average CPA,ROAS,New customers acquired,Existing customers acquired,Total customers acquired
2026-04-11,false,5f106dc0-e261-48d2-9021-b3faf9e56b5e,DD_NAT'L_Store List 2_New-L45D_SL_04.01.26_04.30.26,2026-04-01,2026-05-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,44,2,1,21.28,3.0,0.0,0.0,21.28,3.0,7.09,0,1,1
2026-04-11,false,09de6ec4-e506-477d-89b9-ce5471161fa0,NULL,NULL,None,655822,McDonald's (493-S BND-N MICHIGAN),NULL,364,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-11,true,760e4cec-1915-4b1c-898b-bb4d9163fc4a,TODC - Ads,2026-03-16,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,960,112,41,887.51,123.0,0.0,0.0,21.65,3.0,7.22,0,41,41
2026-04-12,false,5f106dc0-e261-48d2-9021-b3faf9e56b5e,DD_NAT'L_Store List 2_New-L45D_SL_04.01.26_04.30.26,2026-04-01,2026-05-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,25,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-12,true,760e4cec-1915-4b1c-898b-bb4d9163fc4a,TODC - Ads,2026-03-16,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,770,105,29,566.59,87.0,0.0,0.0,19.54,3.0,6.51,0,29,29
2026-04-12,false,09de6ec4-e506-477d-89b9-ce5471161fa0,NULL,NULL,None,655822,McDonald's (493-S BND-N MICHIGAN),NULL,489,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-13,true,760e4cec-1915-4b1c-898b-bb4d9163fc4a,TODC - Ads,2026-03-16,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,333,28,16,325.74,48.0,0.0,0.0,20.36,3.0,6.79,0,15,15
2026-04-13,false,5f106dc0-e261-48d2-9021-b3faf9e56b5e,DD_NAT'L_Store List 2_New-L45D_SL_04.01.26_04.30.26,2026-04-01,2026-05-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,25,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-14,false,5f106dc0-e261-48d2-9021-b3faf9e56b5e,DD_NAT'L_Store List 2_New-L45D_SL_04.01.26_04.30.26,2026-04-01,2026-05-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,32,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-14,true,760e4cec-1915-4b1c-898b-bb4d9163fc4a,TODC - Ads,2026-03-16,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,360,29,16,326.06,48.0,0.0,0.0,20.38,3.0,6.79,0,16,16
2026-04-15,true,760e4cec-1915-4b1c-898b-bb4d9163fc4a,TODC - Ads,2026-03-16,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,336,34,19,349.43,57.0,0.0,0.0,18.39,3.0,6.13,0,18,18
2026-04-15,false,5f106dc0-e261-48d2-9021-b3faf9e56b5e,DD_NAT'L_Store List 2_New-L45D_SL_04.01.26_04.30.26,2026-04-01,2026-05-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,16,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-16,true,760e4cec-1915-4b1c-898b-bb4d9163fc4a,TODC - Ads,2026-03-16,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,158,17,8,142.93,24.0,0.0,0.0,17.87,3.0,5.96,0,8,8
2026-04-16,false,5f106dc0-e261-48d2-9021-b3faf9e56b5e,DD_NAT'L_Store List 2_New-L45D_SL_04.01.26_04.30.26,2026-04-01,2026-05-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,6,2,1,22.54,3.0,0.0,0.0,22.54,3.0,7.51,0,0,1
2026-04-17,true,760e4cec-1915-4b1c-898b-bb4d9163fc4a,TODC - Ads,2026-03-16,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,437,78,36,734.54,108.0,0.0,0.0,20.4,3.0,6.8,0,36,36
2026-04-17,false,5f106dc0-e261-48d2-9021-b3faf9e56b5e,DD_NAT'L_Store List 2_New-L45D_SL_04.01.26_04.30.26,2026-04-01,2026-05-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,15,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-18,false,345a532a-c88a-4730-9f5d-029fa54373c5,McDonald's's Ad Campaign (4/18-4/19/26),2026-04-18,2026-04-20,655822,McDonald's (493-S BND-N MICHIGAN),USD,81,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-18,true,760e4cec-1915-4b1c-898b-bb4d9163fc4a,TODC - Ads,2026-03-16,None,655822,McDonald's (493-S BND-N MICHIGAN),USD,449,60,15,321.03,45.0,0.0,0.0,21.4,3.0,7.13,0,15,15
2026-04-18,false,5f106dc0-e261-48d2-9021-b3faf9e56b5e,DD_NAT'L_Store List 2_New-L45D_SL_04.01.26_04.30.26,2026-04-01,2026-05-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,12,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-19,false,5f106dc0-e261-48d2-9021-b3faf9e56b5e,DD_NAT'L_Store List 2_New-L45D_SL_04.01.26_04.30.26,2026-04-01,2026-05-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-19,false,345a532a-c88a-4730-9f5d-029fa54373c5,McDonald's's Ad Campaign (4/18-4/19/26),2026-04-18,2026-04-20,655822,McDonald's (493-S BND-N MICHIGAN),USD,137,10,4,57.75,12.0,0.0,0.0,14.44,3.0,4.81,0,4,4
2026-04-19,true,760e4cec-1915-4b1c-898b-bb4d9163fc4a,TODC - Ads,2026-03-16,2026-04-19,655822,McDonald's (493-S BND-N MICHIGAN),USD,579,89,35,805.84,105.0,0.0,0.0,23.02,3.0,7.67,0,35,35
2026-04-20,false,345a532a-c88a-4730-9f5d-029fa54373c5,McDonald's's Ad Campaign (4/18-4/19/26),2026-04-18,2026-04-20,655822,McDonald's (493-S BND-N MICHIGAN),USD,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-20,false,5f106dc0-e261-48d2-9021-b3faf9e56b5e,DD_NAT'L_Store List 2_New-L45D_SL_04.01.26_04.30.26,2026-04-01,2026-05-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-21,false,5f106dc0-e261-48d2-9021-b3faf9e56b5e,DD_NAT'L_Store List 2_New-L45D_SL_04.01.26_04.30.26,2026-04-01,2026-05-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-22,false,5f106dc0-e261-48d2-9021-b3faf9e56b5e,DD_NAT'L_Store List 2_New-L45D_SL_04.01.26_04.30.26,2026-04-01,2026-05-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,21,1,1,15.49,3.0,0.0,0.0,15.49,3.0,5.16,0,1,1
2026-04-23,false,5f106dc0-e261-48d2-9021-b3faf9e56b5e,DD_NAT'L_Store List 2_New-L45D_SL_04.01.26_04.30.26,2026-04-01,2026-05-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-24,false,5f106dc0-e261-48d2-9021-b3faf9e56b5e,DD_NAT'L_Store List 2_New-L45D_SL_04.01.26_04.30.26,2026-04-01,2026-05-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-25,false,5f106dc0-e261-48d2-9021-b3faf9e56b5e,DD_NAT'L_Store List 2_New-L45D_SL_04.01.26_04.30.26,2026-04-01,2026-05-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-25,false,5f542d7e-658f-4fe6-803c-9f57686c09ca,McDonald's Ad Campaign (4/25-4/26/26),2026-04-25,2026-04-27,655822,McDonald's (493-S BND-N MICHIGAN),USD,62,8,5,102.68,15.0,0.0,0.0,20.54,3.0,6.85,1,3,5
2026-04-26,false,5f542d7e-658f-4fe6-803c-9f57686c09ca,McDonald's Ad Campaign (4/25-4/26/26),2026-04-25,2026-04-27,655822,McDonald's (493-S BND-N MICHIGAN),USD,112,6,3,54.02,9.0,0.0,0.0,18.01,3.0,6.0,1,1,3
2026-04-26,false,5f106dc0-e261-48d2-9021-b3faf9e56b5e,DD_NAT'L_Store List 2_New-L45D_SL_04.01.26_04.30.26,2026-04-01,2026-05-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,12,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-27,false,5f542d7e-658f-4fe6-803c-9f57686c09ca,McDonald's Ad Campaign (4/25-4/26/26),2026-04-25,2026-04-27,655822,McDonald's (493-S BND-N MICHIGAN),USD,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-27,false,5f106dc0-e261-48d2-9021-b3faf9e56b5e,DD_NAT'L_Store List 2_New-L45D_SL_04.01.26_04.30.26,2026-04-01,2026-05-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2026-04-28,false,5f106dc0-e261-48d2-9021-b3faf9e56b5e,DD_NAT'L_Store List 2_New-L45D_SL_04.01.26_04.30.26,2026-04-01,2026-05-01,655822,McDonald's (493-S BND-N MICHIGAN),USD,26,4,1,12.19,3.0,0.0,0.0,12.19,3.0,4.06,0,1,1
