Start Date,End Date,Item Name,Menu Category,Gross Item Sales,Item Volume,% of Total Item Volume,Total Item Missing or Incorrect Errors,% of Total Missing/Incorrect Errors,Item Missing/Incorrect %,Total Item Error Charges,Currency
2025-01-01,2026-06-03,3 Piece McCrispy™ Strips Meal,Extra Value Meals,68.04,6,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Hot Honey Sausage Egg Biscuit,Limited Time: Hot Honey,67.45,13,0.0,1,0.01,7.69,1.68,USD
2025-01-01,2026-06-03,Bacon Egg Cheese Bagel Meal,Sandwiches,66.79,6,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Mango Pineapple Refresher,McCafé® Beverages,66.07,13,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Double Quarter Pounder® with Cheese,Meals,65.9,8,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Bacon Buffalo Ranch McCrispy™,Limited Time: Buffalo Ranch,65.33,7,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Krispy Kreme® Chocolate Iced Kreme Filled Doughnut,Sweets & Treats,63.8,20,0.01,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Steak Biscuit,Individual Items,63.52,17,0.01,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Frozen Coca-Cola®,Drinks,63.3,20,0.01,1,0.01,5.0,2.48,USD
2025-01-01,2026-06-03,Special Edition Gold Snack Wrap® & Ranch Snack Wrap® Meal,Limited Time: Special Edition Gold,62.85,5,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Bacon Egg Cheese Biscuit Meal,Sandwiches,62.82,7,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Buffalo Ranch Snack Wrap® & Ranch Snack Wrap® Meal,Limited Time: Buffalo Ranch,61.75,5,0.0,1,0.01,20.0,3.01,USD
2025-01-01,2026-06-03,Strawberry Watermelon Refresher,McCafé® Beverages,59.88,12,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Spicy Egg McMuffin® Meal,Combo Meals,59.63,6,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Special Edition Gold Snack Wrap® & Ranch Snack Wrap® Meal,Chicken,59.25,5,0.0,2,0.03,20.0,8.06,USD
2025-01-01,2026-06-03,Coca-Cola® Zero Sugar,McCafé® Beverages,58.72,28,0.01,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,1 of 6 McDonaldland Collectible ,Sides & More,58.0,29,0.01,4,0.05,13.79,6.81,USD
2025-01-01,2026-06-03,Krispy Kreme® Chocolate Iced with Sprinkles Doughnut,Sweets & Treats,57.42,18,0.01,2,0.03,11.11,5.53,USD
2025-01-01,2026-06-03,Buffalo Ranch Snack Wrap® & Spicy Snack Wrap® Meal,Limited Time: Buffalo Ranch,57.05,5,0.0,1,0.01,20.0,2.37,USD
2025-01-01,2026-06-03,Bacon Buffalo Ranch Deluxe McCrispy™,Chicken,56.74,6,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Pumpkin Latte,McCafé® Coffees,56.34,13,0.0,2,0.03,15.38,6.26,USD
2025-01-01,2026-06-03,BBQ Bacon Quarter Pounder® with Cheese,Limited Time: Angel Reese Special - QPC,55.93,7,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,BBQ Bacon QPC: The Angel Reese Special,Combo Meals,55.05,4,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,HERSHEY'S S'mores McFlurry®,Sweets and Treats,54.06,12,0.0,2,0.03,16.67,8.48,USD
2025-01-01,2026-06-03,Bacon McDouble®,Meals,53.99,11,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Steak Biscuit Meal,Combo Meals,53.9,5,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Hot 'N Spicy McChicken® Meal,Combo Meals,53.73,6,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,The Grinch™ McShaker Fries,Fries,53.3,10,0.0,1,0.01,10.0,2.45,USD
2025-01-01,2026-06-03,Spicy Sausage McMuffin® Meal,Limited Time: Spicy McMuffin®,52.34,6,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,4 Piece McCrispy™ Strips,Limited Time: Special Edition Gold,51.73,7,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Unsweetened Tea Lemonade,Beverages,49.74,16,0.01,2,0.03,12.5,3.41,USD
2025-01-01,2026-06-03,Double Filet-O-Fish®,Meals,49.29,6,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Plain Sundae,Sweets and Treats,49.11,13,0.0,2,0.03,15.38,7.46,USD
2025-01-01,2026-06-03,Double BBQ Bacon Quarter Pounder® with Cheese,Limited Time: Angel Reese Special,48.45,5,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Iced Coffee,McCafé®,48.42,12,0.0,1,0.01,8.33,2.74,USD
2025-01-01,2026-06-03,Spicy Sausage McMuffin® with Egg Meal,Combo Meals,47.05,5,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Biscuit,Individual Items,46.57,23,0.01,2,0.03,8.7,3.79,USD
2025-01-01,2026-06-03,McChicken® Biscuit Meal,Sandwiches,46.12,6,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Quarter Pounder® with Cheese Deluxe,Meals,46.11,6,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Hot Fudge Sundae,Sweets and Treats,45.97,12,0.0,3,0.04,25.0,10.8,USD
2025-01-01,2026-06-03,Dulce de Leche Frappé,McCafé® Coffees,45.92,8,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Special Edition Gold McCrispy™ Meal,Most Popular,45.66,3,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,3 Piece McCrispy™ Strips Meal,Limited Time: Special Edition Gold,45.26,4,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Special Edition Gold McCrispy™,Chicken,44.95,5,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,The Grinch™ Big Mac® Meal,Most Popular,43.37,3,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Bacon Hot Honey McCrispy™ Meal,Most Popular,42.77,3,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Chocolate Milk,Drinks,42.77,23,0.01,1,0.01,4.35,1.67,USD
2025-01-01,2026-06-03,Apple & Pumpkin & Creme Pie,Sweets & Treats,42.77,13,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Strawberry Watermelon Refresher,McCafé® Coffees,42.02,8,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Hot Honey Sausage Egg Biscuit Meal,Limited Time: Hot Honey,41.54,4,0.0,1,0.01,25.0,1.11,USD
2025-01-01,2026-06-03,Medium Frozen Sprite® Lymonade®,Drinks,41.07,13,0.0,4,0.05,23.08,8.27,USD
2025-01-01,2026-06-03,Steak Egg Biscuit Meal,Combo Meals,40.35,4,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Hot Honey McCrispy™ Meal,Most Popular,39.67,3,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Milk,McCafé® Beverages,39.59,21,0.01,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Iced Pumpkin Latte,McCafé® Coffees,38.69,9,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Iced Mocha,McCafé®,38.28,9,0.0,1,0.01,11.11,3.63,USD
2025-01-01,2026-06-03,McRib®,Individual Items,37.74,6,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,3 Piece McCrispy™ Strips,Limited Time: Buffalo Ranch,37.44,6,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,4 Piece McCrispy™ Strips,Meals,36.95,5,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Caramel Hot Chocolate,McCafé® Coffees,36.18,9,0.0,3,0.04,33.33,3.39,USD
2025-01-01,2026-06-03,Dirty Dr Pepper®,McCafé® Beverages,36.12,8,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Special Edition Gold McCrispy™,Most Popular,35.96,4,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Special Edition Gold McCrispy™,Limited Time: Special Edition Gold,35.96,4,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Sprite® Berry Blast,McCafé®,35.42,8,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Hot Honey McCrispy™ Meal,Chicken,35.37,3,0.0,1,0.01,33.33,10.19,USD
2025-01-01,2026-06-03,Unsweetened Iced Tea,Drinks,35.27,13,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Special Edition Gold Snack Wrap® & Spicy Snack Wrap® Meal,Chicken,35.07,3,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Spicy Egg McMuffin®,Individual Items,34.51,6,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Mt. McDonaldland Shake,Sweets and Treats,34.43,7,0.0,1,0.01,14.29,4.79,USD
2025-01-01,2026-06-03,Lemonade,Drinks,33.29,11,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,A Minecraft Movie 10 Piece McNuggets® Meal,Meals,33.28,2,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Krispy Kreme® ½ Dozen Variety Doughnuts,Sweets & Treats,32.38,2,0.0,1,0.01,50.0,13.75,USD
2025-01-01,2026-06-03,OREO® Shamrock McFlurry®,Most Popular,32.32,8,0.0,1,0.01,12.5,4.28,USD
2025-01-01,2026-06-03,Hot Honey McCrispy™,Most Popular,32.05,4,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Spicy Egg McMuffin® Meal,Limited Time: Spicy McMuffin®,31.97,3,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,BBQ Bacon Quarter Pounder® with Cheese,BBQ Bacon QPC: Angel Reese Special,31.96,4,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,BBQ Bacon Quarter Pounder® with Cheese,Individual Items,31.96,4,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Strawberry Watermelon Refresher,Drinks,31.94,6,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Lemonade,McCafé® Beverages,31.7,10,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Bacon Quarter Pounder® with Cheese,Meals,31.65,4,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Hot Honey Sauce Cup,Condiments,31.59,81,0.03,4,0.05,4.94,2.02,USD
2025-01-01,2026-06-03,The Grinch™ McShaker Fries,Most Popular,30.84,6,0.0,1,0.01,16.67,4.75,USD
2025-01-01,2026-06-03,Iced Latte,McCafé®,30.5,6,0.0,2,0.03,33.33,4.99,USD
2025-01-01,2026-06-03,Premium Hot Chocolate,McCafé®,30.18,7,0.0,1,0.01,14.29,4.09,USD
2025-01-01,2026-06-03,Mango Pineapple Refresher,McCafé®,29.94,6,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Krispy Kreme® ½ Dozen Original Glazed® Doughnuts,Sweets & Treats,29.78,2,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Ramyeon McShaker Fries,Most Popular,29.64,6,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Special Edition Gold McCrispy™ Meal,Chicken,29.36,2,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Double BBQ Bacon Quarter Pounder® with Cheese,Individual Items,29.07,3,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,3 Piece McCrispy™ Strips Meal,Limited Time: Buffalo Ranch,28.28,2,0.0,1,0.01,50.0,2.96,USD
2025-01-01,2026-06-03,DASANI® Bottled Water,Drinks,28.26,14,0.01,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Spicy Sausage McMuffin®,Individual Items,27.93,7,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Medium Hot Chocolate,McCafé® Coffees,27.72,7,0.0,1,0.01,14.29,3.44,USD
2025-01-01,2026-06-03,Peppermint Hot Chocolate,McCafé® Coffees,27.23,7,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,The Angel Reese Special,Limited Time: Angel Reese Special,26.38,2,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Spicy Sausage McMuffin® with Egg Meal,Limited Time: Spicy McMuffin®,26.07,3,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Coca-Cola® Zero Sugar,Drinks,25.68,12,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,2 Hot Honey Snack Wrap® Meal,Chicken,25.58,2,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,English McMuffin®,Sandwiches,25.54,16,0.01,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Bagel,Sandwiches,25.33,17,0.01,1,0.01,5.88,1.25,USD
