Start Date,End Date,Store ID,Store Name,Merchant Supplied ID,Error Category,Count of Item Errors,% of Total Item Errors
2025-01-01,2026-06-03,655825,McDonald's (3206-S BEND-WESTERN),3206,Ingredient Error,218,8.13
2025-01-01,2026-06-03,655825,McDonald's (3206-S BEND-WESTERN),3206,Incorrect Size,30,1.12
2025-01-01,2026-06-03,655825,McDonald's (3206-S BEND-WESTERN),3206,Missing Side Item,399,14.89
2025-01-01,2026-06-03,655825,McDonald's (3206-S BEND-WESTERN),3206,Incorrect Quantity,48,1.79
2025-01-01,2026-06-03,655825,McDonald's (3206-S BEND-WESTERN),3206,Missing Item,1985,74.07
2025-01-01,2026-06-03,655822,McDonald's (493-S BND-N MICHIGAN),493,Incorrect Quantity,110,2.65
2025-01-01,2026-06-03,655822,McDonald's (493-S BND-N MICHIGAN),493,Missing Item,3050,73.46
2025-01-01,2026-06-03,655822,McDonald's (493-S BND-N MICHIGAN),493,Ingredient Error,370,8.91
2025-01-01,2026-06-03,655822,McDonald's (493-S BND-N MICHIGAN),493,Missing Side Item,569,13.7
2025-01-01,2026-06-03,655822,McDonald's (493-S BND-N MICHIGAN),493,Missing Sauce/Condiments,2,0.05
2025-01-01,2026-06-03,655822,McDonald's (493-S BND-N MICHIGAN),493,Incorrect Size,51,1.23
2025-01-01,2026-06-03,655827,McDonald's (574-S BND-S MICHIGAN),574,Incorrect Size,19,1.63
2025-01-01,2026-06-03,655827,McDonald's (574-S BND-S MICHIGAN),574,Missing Side Item,157,13.46
2025-01-01,2026-06-03,655827,McDonald's (574-S BND-S MICHIGAN),574,Missing Item,820,70.33
2025-01-01,2026-06-03,655827,McDonald's (574-S BND-S MICHIGAN),574,Incorrect Quantity,37,3.17
2025-01-01,2026-06-03,655827,McDonald's (574-S BND-S MICHIGAN),574,Ingredient Error,133,11.41
