Start Date,End Date,Store Name,Store ID,Business ID,Merchant Supplied ID,Total Orders Including Cancelled Orders,Total Delivered or Picked Up Orders,Total Missing or Incorrect Orders,Missing/Incorrect %,Total Error Charges,Total Cancelled Orders,Total Cancellation Rate %,Total Avoidable Cancellations,Avoidable Cancellation Rate %,Point of Sale Error Rate %,Average Avoidable Dasher Wait,Average Dasher Wait,Average Delivery Time (ASAP),Uptime %,Downtime %,Total Downtime in Minutes,Average Rating,Total Number of Ratings Received in Period of Time,Total 1 Star Ratings,Total 5 Star Ratings,Number of Dislikes,Number of Loved,Percentage of Loved,Currency,Average ASAP Minutes
2025-01-01,2026-06-03,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,26225,25811,1849,7.05,12597.74,414,1.58,132,0.50,0.81,4.10,5.39,23.12,99.59,0.41,2465,NULL,1683,174,602,175,218,12.95,USD,23.12
2025-01-01,2026-06-03,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,33680,32508,2791,8.29,18393.57,1172,3.48,579,1.72,0.57,4.94,6.03,25.06,98.54,1.46,9230,NULL,2160,269,834,186,250,11.57,USD,25.06
2025-01-01,2026-06-03,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,14374,13653,833,5.80,5582.23,721,5.02,472,3.28,0.94,4.36,5.68,22.04,98.61,1.39,8599,NULL,1068,117,492,71,67,6.27,USD,22.04
