Granularity,Start Date,End Date,Store Name,Store ID,Business ID,Merchant Supplied ID,Total Orders Including Cancelled Orders,Total Delivered or Picked Up Orders,Total Missing or Incorrect Orders,Missing/Incorrect %,Total Error Charges,Total Cancelled Orders,Total Cancellation Rate %,Total Avoidable Cancellations,Avoidable Cancellation Rate %,Point of Sale Error Rate %,Average Avoidable Dasher Wait,Average Dasher Wait,Average Delivery Time (ASAP),Uptime %,Downtime %,Total Downtime in Minutes,Average Rating,Total Number of Ratings Received in Period of Time,Total 1 Star Ratings,Total 5 Star Ratings,Number of Dislikes,Number of Loved,Percentage of Loved,Currency,Average ASAP Minutes
Day of 2026-02-25,2026-02-25,2026-02-25,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,25,24,0,0.00,0.00,1,4.00,0,0.00,0.00,3.43,4.20,21.25,100.0,0.0,0,NULL,1,NULL,NULL,1,0,0.00,USD,21.25
Day of 2026-02-24,2026-02-24,2026-02-24,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,49,42,3,6.12,27.57,7,14.29,5,10.20,0.00,4.41,5.47,26.80,90.61,9.39,107,NULL,0,NULL,NULL,0,0,0.00,USD,26.80
Day of 2026-02-24,2026-02-24,2026-02-24,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,54,52,5,9.26,66.39,2,3.70,1,1.85,11.11,5.65,8.14,29.34,95.08,4.92,56,NULL,4,NULL,NULL,2,1,25.00,USD,29.34
Day of 2026-02-24,2026-02-24,2026-02-24,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,35,33,2,5.71,12.69,2,5.71,0,0.00,0.00,3.54,4.67,21.54,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,21.54
Day of 2026-02-23,2026-02-23,2026-02-23,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,71,68,2,2.82,15.42,3,4.23,0,0.00,0.00,2.85,4.60,28.01,100.0,0.0,0,NULL,1,NULL,NULL,1,0,0.00,USD,28.01
Day of 2026-02-23,2026-02-23,2026-02-23,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,80,80,6,7.50,75.39,0,0.00,0,0.00,0.00,4.45,6.01,28.44,100.0,0.0,0,NULL,4,NULL,NULL,2,1,25.00,USD,28.44
Day of 2026-02-23,2026-02-23,2026-02-23,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,37,36,0,0.00,0.00,1,2.70,0,0.00,0.00,3.60,6.13,26.74,97.89,2.11,24,NULL,4,NULL,NULL,0,3,75.00,USD,26.74
Day of 2026-02-22,2026-02-22,2026-02-22,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,124,117,10,8.06,78.33,7,5.65,1,0.81,0.81,4.74,5.42,31.28,97.92,2.08,30,NULL,6,NULL,NULL,4,2,33.33,USD,31.28
Day of 2026-02-22,2026-02-22,2026-02-22,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,95,95,3,3.16,20.09,0,0.00,0,0.00,0.00,2.76,4.57,24.07,100.0,0.0,0,NULL,3,NULL,NULL,1,1,33.33,USD,24.07
Day of 2026-02-22,2026-02-22,2026-02-22,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,35,33,2,5.71,8.18,2,5.71,1,2.86,0.00,4.65,6.31,23.55,98.71,1.29,17,NULL,1,NULL,NULL,0,1,100.00,USD,23.55
Day of 2026-02-21,2026-02-21,2026-02-21,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,106,102,13,12.26,95.40,4,3.77,2,1.89,0.94,5.97,7.74,25.65,95.9,4.1,59,NULL,4,NULL,NULL,1,1,25.00,USD,25.65
Day of 2026-02-21,2026-02-21,2026-02-21,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,93,91,2,2.15,24.17,2,2.15,1,1.08,1.08,2.96,4.34,21.46,100.0,0.0,0,NULL,5,NULL,NULL,2,0,0.00,USD,21.46
Day of 2026-02-21,2026-02-21,2026-02-21,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,29,25,0,0.00,0.00,4,13.79,2,6.90,0.00,11.08,13.34,27.35,91.51,8.49,112,NULL,0,NULL,NULL,0,0,0.00,USD,27.35
Day of 2026-02-20,2026-02-20,2026-02-20,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,111,107,16,14.41,68.76,4,3.60,2,1.80,0.00,5.08,6.25,28.00,100.0,0.0,0,NULL,5,NULL,NULL,1,1,20.00,USD,28.00
Day of 2026-02-20,2026-02-20,2026-02-20,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,88,88,1,1.14,4.24,0,0.00,0,0.00,1.14,2.60,3.95,22.04,100.0,0.0,0,NULL,9,NULL,NULL,1,4,44.44,USD,22.04
Day of 2026-02-20,2026-02-20,2026-02-20,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,27,25,0,0.00,0.00,2,7.41,1,3.70,0.00,4.76,6.36,18.76,98.86,1.14,15,NULL,2,NULL,NULL,0,0,0.00,USD,18.76
Day of 2026-02-19,2026-02-19,2026-02-19,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,53,52,2,3.77,18.87,1,1.89,1,1.89,0.00,3.86,4.73,20.92,100.0,0.0,0,NULL,2,NULL,NULL,1,1,50.00,USD,20.92
Day of 2026-02-19,2026-02-19,2026-02-19,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,61,60,3,4.92,20.68,1,1.64,1,1.64,1.64,4.64,5.81,20.98,100.0,0.0,0,NULL,2,NULL,NULL,1,1,50.00,USD,20.98
Day of 2026-02-19,2026-02-19,2026-02-19,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,22,22,0,0.00,0.00,0,0.00,0,0.00,0.00,2.79,3.72,15.93,100.0,0.0,0,NULL,1,NULL,NULL,0,1,100.00,USD,15.93
Day of 2026-02-18,2026-02-18,2026-02-18,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,41,41,5,12.20,30.66,0,0.00,0,0.00,0.00,3.40,4.42,21.04,100.0,0.0,0,NULL,4,NULL,NULL,1,2,50.00,USD,21.04
Day of 2026-02-18,2026-02-18,2026-02-18,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,51,50,4,7.84,19.88,1,1.96,1,1.96,1.96,3.34,4.12,21.75,100.0,0.0,0,NULL,3,NULL,NULL,1,1,33.33,USD,21.75
Day of 2026-02-18,2026-02-18,2026-02-18,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,20,20,0,0.00,0.00,0,0.00,0,0.00,0.00,3.45,4.30,18.50,100.0,0.0,0,NULL,1,NULL,NULL,0,0,0.00,USD,18.50
Day of 2026-02-17,2026-02-17,2026-02-17,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,33,32,5,15.15,21.80,1,3.03,0,0.00,0.00,3.58,4.20,18.76,100.0,0.0,0,NULL,1,NULL,NULL,0,0,0.00,USD,18.76
Day of 2026-02-17,2026-02-17,2026-02-17,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,44,44,1,2.27,2.71,0,0.00,0,0.00,0.00,3.36,4.88,19.35,100.0,0.0,0,NULL,2,NULL,NULL,0,0,0.00,USD,19.35
Day of 2026-02-17,2026-02-17,2026-02-17,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,23,23,0,0.00,0.00,0,0.00,0,0.00,0.00,4.11,4.95,15.74,100.0,0.0,0,NULL,1,NULL,NULL,0,0,0.00,USD,15.74
Day of 2026-02-16,2026-02-16,2026-02-16,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,33,33,1,3.03,5.24,0,0.00,0,0.00,0.00,3.84,4.44,17.11,100.0,0.0,0,NULL,2,NULL,NULL,0,2,100.00,USD,17.11
Day of 2026-02-16,2026-02-16,2026-02-16,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,59,58,4,6.78,21.01,1,1.69,0,0.00,0.00,4.22,5.36,21.01,97.37,2.63,30,NULL,3,NULL,NULL,2,0,0.00,USD,21.01
Day of 2026-02-16,2026-02-16,2026-02-16,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,30,30,1,3.33,4.03,0,0.00,0,0.00,0.00,3.36,4.82,18.34,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,18.34
Day of 2026-02-15,2026-02-15,2026-02-15,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,86,83,8,9.30,70.38,3,3.49,0,0.00,0.00,4.33,5.13,30.91,100.0,0.0,0,NULL,2,NULL,NULL,2,0,0.00,USD,30.91
Day of 2026-02-15,2026-02-15,2026-02-15,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,58,58,4,6.90,8.55,0,0.00,0,0.00,0.00,3.31,4.38,22.06,100.0,0.0,0,NULL,6,NULL,NULL,1,1,16.67,USD,22.06
Day of 2026-02-15,2026-02-15,2026-02-15,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,34,33,2,5.88,15.86,1,2.94,1,2.94,0.00,4.23,6.39,19.90,99.24,0.76,10,NULL,1,NULL,NULL,1,0,0.00,USD,19.90
Day of 2026-02-14,2026-02-14,2026-02-14,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,98,94,7,7.14,56.15,4,4.08,2,2.04,0.00,4.62,6.01,26.95,100.0,0.0,0,NULL,7,NULL,NULL,1,2,28.57,USD,26.95
Day of 2026-02-14,2026-02-14,2026-02-14,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,77,76,6,7.79,22.03,1,1.30,0,0.00,0.00,3.92,5.69,24.29,100.0,0.0,0,NULL,3,NULL,NULL,2,0,0.00,USD,24.29
Day of 2026-02-14,2026-02-14,2026-02-14,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,28,24,1,3.57,4.80,4,14.29,2,7.14,0.00,8.37,8.77,28.07,95.0,5.0,66,NULL,0,NULL,NULL,0,0,0.00,USD,28.07
Day of 2026-02-13,2026-02-13,2026-02-13,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,51,51,3,5.88,31.15,0,0.00,0,0.00,0.00,2.83,3.67,21.87,100.0,0.0,0,NULL,2,NULL,NULL,0,0,0.00,USD,21.87
Day of 2026-02-13,2026-02-13,2026-02-13,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,86,84,7,8.14,46.46,2,2.33,0,0.00,0.00,4.81,6.72,22.92,100.0,0.0,0,NULL,5,NULL,NULL,1,2,40.00,USD,22.92
Day of 2026-02-13,2026-02-13,2026-02-13,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,38,31,3,7.89,13.37,7,18.42,6,15.79,2.63,7.83,8.81,27.25,97.19,2.81,37,NULL,1,NULL,NULL,0,0,0.00,USD,27.25
Day of 2026-02-12,2026-02-12,2026-02-12,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,53,52,4,7.55,16.88,1,1.89,0,0.00,0.00,3.32,4.19,20.95,100.0,0.0,0,NULL,2,NULL,NULL,0,1,50.00,USD,20.95
Day of 2026-02-12,2026-02-12,2026-02-12,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,73,73,5,6.85,21.56,0,0.00,0,0.00,0.00,5.35,6.66,24.06,100.0,0.0,0,NULL,2,NULL,NULL,0,1,50.00,USD,24.06
Day of 2026-02-12,2026-02-12,2026-02-12,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,29,29,2,6.90,18.80,0,0.00,0,0.00,0.00,4.02,6.56,21.32,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,21.32
Day of 2026-02-11,2026-02-11,2026-02-11,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,58,57,4,6.90,40.66,1,1.72,1,1.72,1.72,3.28,4.41,23.68,100.0,0.0,0,NULL,4,NULL,NULL,2,1,25.00,USD,23.68
Day of 2026-02-11,2026-02-11,2026-02-11,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,61,61,2,3.28,11.45,0,0.00,0,0.00,0.00,4.82,6.22,21.56,100.0,0.0,0,NULL,3,NULL,NULL,1,1,33.33,USD,21.56
Day of 2026-02-11,2026-02-11,2026-02-11,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,32,32,0,0.00,0.00,0,0.00,0,0.00,0.00,2.68,3.79,16.55,100.0,0.0,0,NULL,2,NULL,NULL,0,0,0.00,USD,16.55
Day of 2026-02-10,2026-02-10,2026-02-10,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,46,46,5,10.87,37.24,0,0.00,0,0.00,0.00,4.57,5.40,22.37,100.0,0.0,0,NULL,3,NULL,NULL,1,0,0.00,USD,22.37
Day of 2026-02-10,2026-02-10,2026-02-10,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,57,57,8,14.04,57.45,0,0.00,0,0.00,0.00,3.96,4.84,21.51,100.0,0.0,0,NULL,3,NULL,NULL,2,0,0.00,USD,21.51
Day of 2026-02-10,2026-02-10,2026-02-10,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,18,18,0,0.00,0.00,0,0.00,0,0.00,0.00,3.77,5.14,19.20,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,19.20
Day of 2026-02-09,2026-02-09,2026-02-09,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,39,39,9,23.08,47.74,0,0.00,0,0.00,0.00,3.73,4.57,23.13,100.0,0.0,0,NULL,4,NULL,NULL,3,1,25.00,USD,23.13
Day of 2026-02-09,2026-02-09,2026-02-09,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,52,52,4,7.69,31.45,0,0.00,0,0.00,0.00,3.35,4.46,21.00,100.0,0.0,0,NULL,3,NULL,NULL,1,2,66.67,USD,21.00
Day of 2026-02-09,2026-02-09,2026-02-09,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,13,13,0,0.00,0.00,0,0.00,0,0.00,0.00,5.17,5.73,17.90,100.0,0.0,0,NULL,1,NULL,NULL,0,0,0.00,USD,17.90
Day of 2026-02-08,2026-02-08,2026-02-08,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,84,78,7,8.33,31.81,6,7.14,4,4.76,0.00,4.92,5.66,25.24,96.59,3.41,49,NULL,4,NULL,NULL,2,2,50.00,USD,25.24
Day of 2026-02-08,2026-02-08,2026-02-08,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,81,81,3,3.70,18.91,0,0.00,0,0.00,1.23,3.29,4.39,24.07,100.0,0.0,0,NULL,6,NULL,NULL,2,1,16.67,USD,24.07
Day of 2026-02-08,2026-02-08,2026-02-08,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,25,20,2,8.00,12.09,5,20.00,2,8.00,0.00,3.41,4.48,17.27,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,17.27
Day of 2026-02-07,2026-02-07,2026-02-07,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,102,95,11,10.78,65.42,7,6.86,4,3.92,0.00,4.12,5.31,36.39,97.92,2.08,30,NULL,9,NULL,NULL,2,2,22.22,USD,36.39
Day of 2026-02-07,2026-02-07,2026-02-07,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,68,66,7,10.29,46.88,2,2.94,0,0.00,0.00,4.19,5.31,25.17,97.93,2.07,26,NULL,4,NULL,NULL,2,1,25.00,USD,25.17
Day of 2026-02-07,2026-02-07,2026-02-07,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,25,25,2,8.00,24.15,0,0.00,0,0.00,0.00,4.18,5.69,20.82,97.29,2.71,30,NULL,3,NULL,NULL,1,0,0.00,USD,20.82
Day of 2026-02-06,2026-02-06,2026-02-06,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,90,86,6,6.67,52.06,4,4.44,1,1.11,0.00,3.42,4.06,28.73,100.0,0.0,0,NULL,6,NULL,NULL,2,2,33.33,USD,28.73
Day of 2026-02-06,2026-02-06,2026-02-06,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,70,70,4,5.71,26.76,0,0.00,0,0.00,0.00,3.27,4.80,26.59,100.0,0.0,0,NULL,6,NULL,NULL,1,3,50.00,USD,26.59
Day of 2026-02-06,2026-02-06,2026-02-06,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,33,33,1,3.03,2.13,0,0.00,0,0.00,0.00,3.18,4.91,23.77,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,23.77
Day of 2026-02-05,2026-02-05,2026-02-05,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,51,49,6,11.76,41.21,2,3.92,0,0.00,0.00,2.91,3.83,24.80,100.0,0.0,0,NULL,2,NULL,NULL,0,2,100.00,USD,24.80
Day of 2026-02-05,2026-02-05,2026-02-05,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,79,78,12,15.19,59.38,1,1.27,0,0.00,0.00,4.38,6.14,24.06,97.37,2.63,30,NULL,5,NULL,NULL,2,2,40.00,USD,24.06
Day of 2026-02-05,2026-02-05,2026-02-05,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,31,30,1,3.23,8.05,1,3.23,1,3.23,0.00,3.54,4.91,19.26,100.0,0.0,0,NULL,2,NULL,NULL,0,1,50.00,USD,19.26
Day of 2026-02-04,2026-02-04,2026-02-04,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,50,47,3,6.00,20.72,3,6.00,0,0.00,2.00,5.94,7.94,25.59,97.37,2.63,30,NULL,4,NULL,NULL,1,2,50.00,USD,25.59
Day of 2026-02-04,2026-02-04,2026-02-04,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,61,60,6,9.84,20.98,1,1.64,0,0.00,3.28,4.73,6.28,25.20,96.58,3.42,39,NULL,2,NULL,NULL,0,1,50.00,USD,25.20
Day of 2026-02-04,2026-02-04,2026-02-04,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,37,37,1,2.70,6.01,0,0.00,0,0.00,0.00,3.45,4.70,19.08,100.0,0.0,0,NULL,5,NULL,NULL,2,0,0.00,USD,19.08
Day of 2026-02-03,2026-02-03,2026-02-03,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,44,44,5,11.36,23.92,0,0.00,0,0.00,0.00,3.31,4.63,23.10,100.0,0.0,0,NULL,2,NULL,NULL,1,1,50.00,USD,23.10
Day of 2026-02-03,2026-02-03,2026-02-03,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,71,71,2,2.82,18.48,0,0.00,0,0.00,0.00,3.91,5.34,22.13,100.0,0.0,0,NULL,6,NULL,NULL,0,2,33.33,USD,22.13
Day of 2026-02-03,2026-02-03,2026-02-03,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,16,16,0,0.00,0.00,0,0.00,0,0.00,0.00,4.90,6.16,21.19,100.0,0.0,0,NULL,1,NULL,NULL,0,0,0.00,USD,21.19
Day of 2026-02-02,2026-02-02,2026-02-02,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,60,59,3,5.00,16.01,1,1.67,0,0.00,0.00,3.96,4.93,21.84,100.0,0.0,0,NULL,3,NULL,NULL,0,0,0.00,USD,21.84
Day of 2026-02-02,2026-02-02,2026-02-02,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,65,65,1,1.54,1.53,0,0.00,0,0.00,0.00,3.33,4.45,20.87,100.0,0.0,0,NULL,6,NULL,NULL,1,3,50.00,USD,20.87
Day of 2026-02-02,2026-02-02,2026-02-02,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,23,23,1,4.35,2.66,0,0.00,0,0.00,0.00,4.19,5.59,22.31,97.37,2.63,30,NULL,3,NULL,NULL,3,0,0.00,USD,22.31
Day of 2026-02-01,2026-02-01,2026-02-01,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,109,93,14,12.84,107.25,16,14.68,8,7.34,0.00,3.67,4.84,31.60,93.4,6.6,95,NULL,3,NULL,NULL,0,2,66.67,USD,31.60
Day of 2026-02-01,2026-02-01,2026-02-01,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,74,74,5,6.76,31.82,0,0.00,0,0.00,0.00,3.12,4.74,23.33,100.0,0.0,0,NULL,4,NULL,NULL,2,0,0.00,USD,23.33
Day of 2026-02-01,2026-02-01,2026-02-01,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,37,35,2,5.41,3.66,2,5.41,0,0.00,0.00,1.93,3.20,22.84,100.0,0.0,0,NULL,4,NULL,NULL,2,0,0.00,USD,22.84
Day of 2026-01-31,2026-01-31,2026-01-31,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,103,85,9,8.74,44.78,18,17.48,12,11.65,0.00,3.98,5.30,39.17,95.21,4.79,69,NULL,12,NULL,NULL,3,7,58.33,USD,39.17
Day of 2026-01-31,2026-01-31,2026-01-31,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,87,86,6,6.90,78.66,1,1.15,0,0.00,0.00,3.11,5.42,28.78,100.0,0.0,0,NULL,8,NULL,NULL,5,2,25.00,USD,28.78
Day of 2026-01-31,2026-01-31,2026-01-31,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,37,34,0,0.00,0.00,3,8.11,3,8.11,0.00,2.85,4.56,28.31,94.39,5.61,74,NULL,0,NULL,NULL,0,0,0.00,USD,28.31
Day of 2026-01-30,2026-01-30,2026-01-30,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,112,109,9,8.04,35.49,3,2.68,1,0.89,0.00,3.83,4.92,28.36,100.0,0.0,0,NULL,7,NULL,NULL,0,4,57.14,USD,28.36
Day of 2026-01-30,2026-01-30,2026-01-30,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,108,106,11,10.19,134.21,2,1.85,0,0.00,0.00,4.79,6.71,27.95,100.0,0.0,0,NULL,5,NULL,NULL,3,2,40.00,USD,27.95
Day of 2026-01-30,2026-01-30,2026-01-30,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,27,24,1,3.70,3.35,3,11.11,2,7.41,0.00,4.45,6.84,29.48,100.0,0.0,0,NULL,3,NULL,NULL,2,0,0.00,USD,29.48
Day of 2026-01-29,2026-01-29,2026-01-29,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,45,45,4,8.89,39.47,0,0.00,0,0.00,0.00,4.06,5.52,31.94,100.0,0.0,0,NULL,3,NULL,NULL,2,1,33.33,USD,31.94
Day of 2026-01-29,2026-01-29,2026-01-29,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,84,83,6,7.14,33.48,1,1.19,0,0.00,0.00,4.00,5.90,29.21,100.0,0.0,0,NULL,5,NULL,NULL,1,2,40.00,USD,29.21
Day of 2026-01-29,2026-01-29,2026-01-29,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,23,23,0,0.00,0.00,0,0.00,0,0.00,0.00,4.55,5.55,26.07,100.0,0.0,0,NULL,3,NULL,NULL,0,0,0.00,USD,26.07
Day of 2026-01-28,2026-01-28,2026-01-28,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,63,63,4,6.35,22.87,0,0.00,0,0.00,0.00,2.77,4.11,27.11,100.0,0.0,0,NULL,4,NULL,NULL,0,1,25.00,USD,27.11
Day of 2026-01-28,2026-01-28,2026-01-28,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,71,71,5,7.04,40.58,0,0.00,0,0.00,0.00,3.68,5.01,28.60,100.0,0.0,0,NULL,4,NULL,NULL,0,2,50.00,USD,28.60
Day of 2026-01-28,2026-01-28,2026-01-28,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,25,25,0,0.00,0.00,0,0.00,0,0.00,0.00,2.05,3.60,22.90,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,22.90
Day of 2026-01-27,2026-01-27,2026-01-27,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,59,59,5,8.47,19.08,0,0.00,0,0.00,0.00,3.15,4.52,29.79,100.0,0.0,0,NULL,4,NULL,NULL,2,0,0.00,USD,29.79
Day of 2026-01-27,2026-01-27,2026-01-27,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,67,67,6,8.96,66.71,0,0.00,0,0.00,0.00,3.44,5.05,29.51,100.0,0.0,0,NULL,5,NULL,NULL,1,1,20.00,USD,29.51
Day of 2026-01-27,2026-01-27,2026-01-27,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,24,24,2,8.33,8.53,0,0.00,0,0.00,0.00,2.50,4.57,26.33,100.0,0.0,0,NULL,2,NULL,NULL,0,2,100.00,USD,26.33
Day of 2026-01-26,2026-01-26,2026-01-26,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,53,52,6,11.32,77.55,1,1.89,0,0.00,0.00,3.55,5.05,30.83,97.37,2.63,30,NULL,6,NULL,NULL,1,3,50.00,USD,30.83
Day of 2026-01-26,2026-01-26,2026-01-26,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,62,60,4,6.45,40.84,2,3.23,1,1.61,0.00,3.77,5.91,29.00,100.0,0.0,0,NULL,2,NULL,NULL,1,0,0.00,USD,29.00
Day of 2026-01-26,2026-01-26,2026-01-26,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,27,27,2,7.41,4.46,0,0.00,0,0.00,0.00,3.34,5.19,29.39,100.0,0.0,0,NULL,1,NULL,NULL,0,0,0.00,USD,29.39
Day of 2026-01-25,2026-01-25,2026-01-25,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,120,106,10,8.33,87.75,14,11.67,7,5.83,0.00,7.65,8.70,34.18,98.6,1.4,16,NULL,8,NULL,NULL,3,2,25.00,USD,34.18
Day of 2026-01-25,2026-01-25,2026-01-25,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,61,61,3,4.92,11.69,0,0.00,0,0.00,0.00,2.95,4.58,29.08,100.0,0.0,0,NULL,2,NULL,NULL,1,0,0.00,USD,29.08
Day of 2026-01-25,2026-01-25,2026-01-25,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,32,26,2,6.25,15.55,6,18.75,0,0.00,6.25,3.05,5.03,28.84,98.52,1.48,16,NULL,1,NULL,NULL,0,0,0.00,USD,28.84
Day of 2026-01-24,2026-01-24,2026-01-24,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,103,92,8,7.77,34.86,11,10.68,5,4.85,0.00,2.61,3.73,32.78,100.0,0.0,0,NULL,8,NULL,NULL,1,1,12.50,USD,32.78
Day of 2026-01-24,2026-01-24,2026-01-24,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,80,80,0,0.00,0.00,0,0.00,0,0.00,0.00,2.68,4.70,28.30,100.0,0.0,0,NULL,4,NULL,NULL,0,2,50.00,USD,28.30
Day of 2026-01-24,2026-01-24,2026-01-24,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,22,20,0,0.00,0.00,2,9.09,1,4.55,0.00,3.09,4.20,21.91,100.0,0.0,0,NULL,1,NULL,NULL,0,0,0.00,USD,21.91
Day of 2026-01-23,2026-01-23,2026-01-23,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,103,95,12,11.65,58.64,8,7.77,2,1.94,0.00,3.74,4.76,26.68,99.37,0.63,9,NULL,5,NULL,NULL,2,1,20.00,USD,26.68
Day of 2026-01-23,2026-01-23,2026-01-23,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,94,92,7,7.45,46.04,2,2.13,0,0.00,0.00,3.14,4.61,24.95,100.0,0.0,0,NULL,2,NULL,NULL,0,2,100.00,USD,24.95
Day of 2026-01-23,2026-01-23,2026-01-23,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,30,25,1,3.33,8.21,5,16.67,5,16.67,0.00,2.01,4.64,26.68,95.0,5.0,66,NULL,1,NULL,NULL,0,0,0.00,USD,26.68
Day of 2026-01-22,2026-01-22,2026-01-22,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,53,53,6,11.32,48.31,0,0.00,0,0.00,1.89,3.25,4.03,23.96,100.0,0.0,0,NULL,2,NULL,NULL,1,1,50.00,USD,23.96
