Granularity,Start Date,End Date,Store Name,Store ID,Business ID,Merchant Supplied ID,Total Orders Including Cancelled Orders,Total Delivered or Picked Up Orders,Total Missing or Incorrect Orders,Missing/Incorrect %,Total Error Charges,Total Cancelled Orders,Total Cancellation Rate %,Total Avoidable Cancellations,Avoidable Cancellation Rate %,Point of Sale Error Rate %,Average Avoidable Dasher Wait,Average Dasher Wait,Average Delivery Time (ASAP),Uptime %,Downtime %,Total Downtime in Minutes,Average Rating,Total Number of Ratings Received in Period of Time,Total 1 Star Ratings,Total 5 Star Ratings,Number of Dislikes,Number of Loved,Percentage of Loved,Currency,Average ASAP Minutes
Day of 2026-03-27,2026-03-27,2026-03-27,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,15,15,2,13.33,2.37,0,0.00,0,0.00,6.67,4.89,5.98,21.88,100.0,0.0,0,NULL,2,NULL,NULL,0,1,50.00,USD,21.88
Day of 2026-03-26,2026-03-26,2026-03-26,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,42,42,3,7.14,17.39,0,0.00,0,0.00,0.00,3.19,4.47,23.38,100.0,0.0,0,NULL,1,NULL,NULL,0,1,100.00,USD,23.38
Day of 2026-03-26,2026-03-26,2026-03-26,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,62,61,5,8.06,22.25,1,1.61,1,1.61,0.00,4.45,6.42,22.24,100.0,0.0,0,NULL,1,NULL,NULL,1,0,0.00,USD,22.24
Day of 2026-03-26,2026-03-26,2026-03-26,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,26,26,2,7.69,12.62,0,0.00,0,0.00,0.00,3.97,4.88,18.53,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,18.53
Day of 2026-03-25,2026-03-25,2026-03-25,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,59,57,12,20.34,99.55,2,3.39,1,1.69,0.00,6.63,7.69,22.47,100.0,0.0,0,NULL,4,NULL,NULL,2,1,25.00,USD,22.47
Day of 2026-03-25,2026-03-25,2026-03-25,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,51,51,3,5.88,13.78,0,0.00,0,0.00,0.00,4.30,5.88,22.95,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,22.95
Day of 2026-03-25,2026-03-25,2026-03-25,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,24,23,1,4.17,6.36,1,4.17,0,0.00,0.00,3.40,5.03,19.32,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,19.32
Day of 2026-03-24,2026-03-24,2026-03-24,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,55,51,3,5.45,3.49,4,7.27,2,3.64,0.00,4.77,5.51,22.18,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,22.18
Day of 2026-03-24,2026-03-24,2026-03-24,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,46,46,2,4.35,28.66,0,0.00,0,0.00,0.00,4.31,5.63,21.53,100.0,0.0,0,NULL,1,NULL,NULL,0,1,100.00,USD,21.53
Day of 2026-03-24,2026-03-24,2026-03-24,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,22,22,1,4.55,1.40,0,0.00,0,0.00,0.00,2.75,4.46,20.07,100.0,0.0,0,NULL,1,NULL,NULL,0,0,0.00,USD,20.07
Day of 2026-03-23,2026-03-23,2026-03-23,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,38,38,4,10.53,43.88,0,0.00,0,0.00,0.00,5.53,6.22,20.91,100.0,0.0,0,NULL,4,NULL,NULL,2,0,0.00,USD,20.91
Day of 2026-03-23,2026-03-23,2026-03-23,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,52,52,4,7.69,38.91,0,0.00,0,0.00,0.00,3.17,4.56,17.66,100.0,0.0,0,NULL,3,NULL,NULL,1,2,66.67,USD,17.66
Day of 2026-03-23,2026-03-23,2026-03-23,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,22,22,1,4.55,2.44,0,0.00,0,0.00,0.00,3.21,4.51,17.70,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,17.70
Day of 2026-03-22,2026-03-22,2026-03-22,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,113,102,6,5.31,25.95,11,9.73,10,8.85,0.00,4.94,5.86,24.18,98.4,1.6,23,NULL,2,NULL,NULL,0,0,0.00,USD,24.18
Day of 2026-03-22,2026-03-22,2026-03-22,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,82,81,9,10.98,58.96,1,1.22,0,0.00,0.00,4.14,5.36,18.91,100.0,0.0,0,NULL,5,NULL,NULL,1,2,40.00,USD,18.91
Day of 2026-03-22,2026-03-22,2026-03-22,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,29,25,1,3.45,4.07,4,13.79,3,10.34,6.90,3.18,3.90,15.17,95.45,4.55,60,NULL,0,NULL,NULL,0,0,0.00,USD,15.17
Day of 2026-03-21,2026-03-21,2026-03-21,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,64,63,3,4.69,17.17,1,1.56,0,0.00,0.00,4.30,5.10,20.79,100.0,0.0,0,NULL,2,NULL,NULL,0,2,100.00,USD,20.79
Day of 2026-03-21,2026-03-21,2026-03-21,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,91,90,4,4.40,55.47,1,1.10,0,0.00,0.00,3.22,4.29,25.14,100.0,0.0,0,NULL,4,NULL,NULL,0,3,75.00,USD,25.14
Day of 2026-03-21,2026-03-21,2026-03-21,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,29,28,0,0.00,0.00,1,3.45,1,3.45,0.00,4.80,5.92,19.89,97.35,2.65,35,NULL,0,NULL,NULL,0,0,0.00,USD,19.89
Day of 2026-03-20,2026-03-20,2026-03-20,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,110,106,4,3.64,24.87,4,3.64,0,0.00,2.73,3.86,4.77,28.73,100.0,0.0,0,NULL,3,NULL,NULL,0,2,66.67,USD,28.73
Day of 2026-03-20,2026-03-20,2026-03-20,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,73,73,2,2.74,11.53,0,0.00,0,0.00,0.00,3.79,4.97,21.77,100.0,0.0,0,NULL,5,NULL,NULL,2,1,20.00,USD,21.77
Day of 2026-03-20,2026-03-20,2026-03-20,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,39,37,1,2.56,3.99,2,5.13,2,5.13,0.00,4.14,5.57,18.78,96.21,3.79,50,NULL,1,NULL,NULL,0,1,100.00,USD,18.78
Day of 2026-03-19,2026-03-19,2026-03-19,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,60,59,4,6.67,38.16,1,1.67,0,0.00,0.00,3.21,4.32,18.62,100.0,0.0,0,NULL,2,NULL,NULL,0,0,0.00,USD,18.62
Day of 2026-03-19,2026-03-19,2026-03-19,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,77,76,5,6.49,33.10,1,1.30,0,0.00,1.30,4.40,5.48,21.08,98.86,1.14,13,NULL,4,NULL,NULL,1,1,25.00,USD,21.08
Day of 2026-03-19,2026-03-19,2026-03-19,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,43,43,1,2.33,7.43,0,0.00,0,0.00,2.33,4.46,5.42,19.84,100.0,0.0,0,NULL,1,NULL,NULL,0,0,0.00,USD,19.84
